"Title:","ACT Composite 75th Percentile Score from the Test Scores - Postsecondary Education Database"
"SubTitle:",""
"Time:","2006 - 2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","National Center for Education Statistics (2022-09-30). Test Scores - Postsecondary Education: ACT Composite 75th Percentile Score, 2006 - 2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  017-022-008 doi:https://doi.org/10.6068/DP1846849F42F39"
"ColumnCount:",18
"RowCount:",2458

"Fort Lewis College - Colorado",22,23,24,25,24,24,24,25,24,25,24,24,23,23
"West Virginia State University - West Virginia",22,22,22,22,22,22,22,22,22,22,21,21,21,21
"Bluefield State College - West Virginia",22,21,21,21,22,22,22,21,21,22,21,21,21,22
"Bethany College - Kansas",22,23,23,23,23,23,24,23,25,25,25,24,25,23
"Fresno Pacific University - California",22,24,23,22,24,24,24,22,25,26,24,23,25,25
"Bethany College - West Virginia",22,23,23,24,23,22,22,24,22,24,24,24,24,23
"Marian University - Wisconsin",22,22,22,22,23,23,23,22,23,23,22,22,22,22
"Bethel College-North Newton - Kansas",22,24,24,,,,25,26,27,26,29,27,28,28
"Kentucky Mountain Bible College - Kentucky",22,23,25,24,24,24,24,23,23,24,25,21,,22
"McMurry University - Texas",22,22,23,22,22,21,21,24,23,23,24,23,22,23
"John A Gupton College - Tennessee",22,21,11,12,21,21,,,,,,,,
"The University of Texas Permian Basin - Texas",22,22,22,22,22,22,22,23,23,24,23,22,22,23
"The University of Texas Rio Grande Valley - Texas",22,22,22,22,22,21,22,21,22,21,21,21,21,21
"Thiel College - Pennsylvania",22,23,20,24,23,21,23,23,23,22,23,24,23,22
"Castleton University - Vermont",22,22,23,23,24,23,22,23,23,22,21,23,22,
"Catawba College - North Carolina",22,23,24,23,24,24,,,25,,25,25,25,26
"Cazenovia College - New York",22,,,,23,,,,24,,,,,
"Northwestern Oklahoma State University - Oklahoma",22,22,22,23,23,22,21,22,23,22,22,22,23,22
"Culver-Stockton College - Missouri",22,22,23,23,23,23,23,23,23,24,24,24,24,23
"Centenary University - New Jersey",22,25,22,24,21,24,21,23,22,21,20,23,21,17
"Fairmont State University - West Virginia",22,23,23,23,23,23,23,23,23,23,23,23,23,23
"Mount Marty University - South Dakota",22,24,24,24,24,25,23,25,24,25,24,24,24,24
"University of Hawaii at Hilo - Hawaii",22,23,23,23,24,22,22,23,24,24,24,20,25,21
"Central Baptist College - Arkansas",22,22,22,22,25,23,23,23,23,23,29,23,22,22
"Adams State University - Colorado",22,22,22,22,22,23,23,22,23,22,22,22,22,21
"Coppin State University - Maryland",22,21,20,19,18,20,,,,,,,,
"North Carolina A & T State University - North Carolina",22,22,22,22,22,21,21,21,21,21,22,21,20,19
"Concord University - West Virginia",22,23,23,23,23,24,24,24,23,27,27,28,27,23
"University of Bridgeport - Connecticut",22,21,23,24,23,23,21,22,21,22,,,,
"Kean University - New Jersey",22,23,22,22,22,21,22,,,,,,,
"College of Mount Saint Vincent - New York",22,23,23,22,22,22,22,23,21,23,,,,
"College of Coastal Georgia - Georgia",22,21,22,21,21,22,21,22,21,,,,,
"Tougaloo College - Mississippi",22,22,23,24,24,20,21,21,20,20,28,29,26,25
"La Roche University - Pennsylvania",22,21,21,23,23,23,23,24,23,21,22,21,18,21
"Delaware State University - Delaware",22,22,22,21,21,21,20,19,20,20,19,20,20,18
"Baptist Health College Little Rock - Arkansas",22,24,20,26,23,24,23,22,23,23,22,22,21,22
"Erskine College - South Carolina",22,22,23,24,26,24,25,24,25,25,27,26,25,25
"Presentation College - South Dakota",22,21,23,22,22,21,24,22,23,21,23,22,23,22
"Arizona Christian University - Arizona",22,21,22,21,22,23,24,25,25,24,25,24,,
"Lewis-Clark State College - Idaho",22,23,22,22,23,23,22,22,23,22,22,23,22,23
"Cabarrus College of Health Sciences - North Carolina",22,22,23,23,24,22,22,25,22,20,21,24,23,22
"Barton College - North Carolina",22,22,23,23,23,23,24,22,21,21,20,24,21,21
"Alderson Broaddus University - West Virginia",22,22,22,23,23,23,24,24,24,24,23,23,23,23
"Mid-Atlantic Christian University - North Carolina",22,20,22,21,21,23,27,20,20,22,22,27,24,20
"Lander University - South Carolina",22,23,22,23,23,22,22,22,22,22,22,23,21,21
"Ottawa University-Ottawa - Kansas",22,22,21,22,,,,25,,24,23,,24,23
"Midwestern State University - Texas",22,22,23,23,23,24,23,23,23,24,23,23,23,23
"University of Mount Olive - North Carolina",22,22,21,22,22,21,21,20,20,21,22,,,
"Texas Woman's University - Texas",22,23,23,23,23,23,23,23,23,22,25,22,23,22
"California State University-Northridge - California",22,22,22,22,23,22,22,22,22,22,21,21,21,20
"The Christ College of Nursing and Health Sciences - Ohio",22,24,23,24,23,22,22,25,24,21,23,22,23,25
"Valley City State University - North Dakota",22,24,23,23,24,23,25,23,22,22,23,23,23,23
"California State University-San Marcos - California",22,22,22,23,23,23,22,23,23,22,23,22,23,22
"Mississippi Valley State University - Mississippi",22,21,19,19,19,19,19,19,19,19,19,19,18,19
"Dillard University - Louisiana",22,23,,21,21,20,20,20,20,20,20,20,20,20
"Dickinson State University - North Dakota",22,23,23,23,31,22,23,23,22,27,,,,
"Lancaster Bible College - Pennsylvania",22,24,25,25,25,23,23,22,24,23,25,23,24,27
"Union College - Kentucky",22,22,23,23,22,23,23,24,23,23,21,21,21,20
"Abraham Baldwin Agricultural College - Georgia",21,22,22,22,22,22,22,21,17,22,,,,
"Waldorf University - Iowa",21,22,22,22,23,22,21,23,23,24,23,22,26,22
"Worsham College of Mortuary Science - Illinois",21,,,,,,,,,,,,,
"Averett University - Virginia",21,20,22,22,21,22,22,22,21,23,21,20,19,22
"Alice Lloyd College - Kentucky",21,22,23,23,25,24,24,24,23,22,22,24,23,23
"University of North Carolina at Pembroke - North Carolina",21,21,21,21,21,22,21,21,20,20,19,21,20,20
"Neumann University - Pennsylvania",21,20,21,20,19,21,19,20,21,20,,,,
"Northeastern Illinois University - Illinois",21,22,22,19,20,20,21,21,21,21,21,21,21,21
"Converse University - South Carolina",21,22,25,26,26,25,25,26,26,28,25,26,26,25
"Oak Hills Christian College - Minnesota",21,25,23,13,21,21,23,23,23,25,23,22,23,23
"Gwynedd Mercy University - Pennsylvania",21,24,23,23,23,22,23,22,23,21,,,21,
"Defiance College - Ohio",21,21,22,22,23,24,24,23,23,23,24,24,23,23
"The University of Montana-Western - Montana",21,22,22,22,,,,,,,,,,
"The Evergreen State College - Washington",21,25,,27,26,26,26,27,27,26,26,27,26,27
"Coker University - South Carolina",21,28,22,21,22,22,23,22,22,24,22,21,22,
"Texas A & M University-Kingsville - Texas",21,22,22,22,23,22,21,21,21,20,21,21,20,
"Sul Ross State University - Texas",21,19,,20,20,20,21,21,21,,,,,
"Oakland City University - Indiana",21,21,22,24,24,22,23,24,22,23,22,22,23,24
"St. Thomas University - Florida",21,22,21,22,21,22,21,21,21,21,21,20,21,22
"Francis Marion University - South Carolina",21,21,22,22,22,22,21,22,22,22,22,21,21,22
"Point University - Georgia",21,20,22,21,22,21,21,22,,21,23,20,20,22
"Gordon State College - Georgia",21,19,20,19,20,20,20,19,20,19,,,,
"Governors State University - Illinois",21,22,20,20,21,21,21,,,,,,,
"Summit Christian College - Nebraska",21,,21,21,23,26,25,,24,26,17,24,23,23
"Newberry College - South Carolina",21,21,23,22,23,22,23,22,22,23,23,23,22,22
"Trinity Baptist College - Florida",21,22,20,20,20,20,21,23,20,21,20,20,18,22
"Holy Family University - Pennsylvania",21,22,22,,,,22,22,22,,21,23,20,20
"University of North Texas at Dallas - Texas",21,21,20,20,22,21,20,,,,,,,
"California State University-Fresno - California",21,22,22,22,22,21,22,22,22,22,22,22,22,22
"University of Michigan-Flint - Michigan",21,26,26,26,26,24,24,24,25,25,24,23,24,24
"Kentucky Christian University - Kentucky",21,21,21,22,23,23,23,24,24,22,24,22,22,24
"Massachusetts College of Liberal Arts - Massachusetts",21,26,26,27,25,25,23,25,25,23,25,24,24,
"University of Hawaii-West Oahu - Hawaii",21,21,21,20,,,,22,21,22,18,22,,
"Life University - Georgia",21,26,21,20,22,,,,,22,21,19,19,19
"Bethel University - Tennessee",21,20,25,21,22,22,22,22,23,22,23,22,21,22
"University of South Carolina-Upstate - South Carolina",21,22,22,22,23,22,22,23,23,22,22,22,22,21
"Pfeiffer University - North Carolina",20,23,22,22,22,22,21,22,22,23,22,22,25,22
"University of South Carolina-Sumter - South Carolina",20,20,20,21,21,21,21,21,21,21,22,21,22,21
"Our Lady of the Lake University - Texas",20,20,21,21,22,22,22,21,20,21,21,21,21,20
"Alabama State University - Alabama",20,19,20,20,19,19,19,19,19,18,18,17,18,18
"Prairie View A & M University - Texas",20,20,21,20,19,20,19,20,19,20,19,19,20,19
"Southern University and A & M College - Louisiana",20,20,21,21,27,21,21,20,21,20,20,18,20,19
"Alabama A & M University - Alabama",20,19,19,19,19,19,19,19,19,19,19,20,19,20
"Felician University - New Jersey",20,20,22,22,21,21,19,23,19,20,21,19,,
"Andrew College - Georgia",20,19,19,21,,,18,19,20,19,19,20,19,20
"Fayetteville State University - North Carolina",20,21,21,20,21,20,21,19,19,20,19,18,19,
"University of South Carolina-Lancaster - South Carolina",20,20,21,21,21,21,20,21,20,20,20,19,20,19
"Iowa Wesleyan University - Iowa",20,23,23,21,21,22,24,24,22,22,22,23,21,22
"Saint Elizabeth School of Nursing - Indiana",20,,20,,,20,20,,,,25,20,20,21
"Fisher College - Massachusetts",20,,,,,,,,20,22,,,,
"Metropolitan State University of Denver - Colorado",20,23,23,22,23,23,23,23,23,23,22,23,23,22
"Webber International University - Florida",20,20,20,20,20,20,23,24,23,21,21,20,19,20
"Norfolk State University - Virginia",20,21,21,21,20,19,19,20,19,18,20,19,19,19
"Clark Atlanta University - Georgia",20,20,21,22,21,20,20,21,21,20,20,20,20,24
"Virginia State University - Virginia",20,20,21,19,19,21,19,18,20,19,,,,17
"North Carolina Wesleyan College - North Carolina",20,19,21,21,23,22,20,20,21,21,20,18,22,18
"VanderCook College of Music - Illinois",20,21,25,29,25,28,28,29,28,26,25,25,26,25
"Columbia College - South Carolina",20,,,21,24,24,25,24,26,24,23,24,23,23
"Jackson State University - Mississippi",20,21,22,21,21,21,21,21,20,20,20,20,20,21
"Mount Mary University - Wisconsin",20,21,21,21,23,21,22,23,22,25,22,22,21,21
"Kentucky State University - Kentucky",20,22,19,21,21,22,21,20,19,20,19,19,19,18
"California State University-San Bernardino - California",20,19,20,21,20,20,20,20,21,21,20,21,20,20
"California State University-Los Angeles - California",20,20,20,20,20,20,20,20,20,20,19,19,20,20
"Morgan State University - Maryland",20,20,20,20,20,19,19,19,19,19,19,20,19,21
"Texas Southern University - Texas",20,18,19,19,19,19,18,19,19,19,17,17,,
"Texas A&M University-San Antonio - Texas",20,20,19,20,20,,,,,,,,,
"Texas A & M International University - Texas",20,20,21,21,21,20,20,20,20,20,20,20,20,24
"Missouri Valley College - Missouri",20,21,21,,,,,21,21,21,21,20,21,27
"Paine College - Georgia",19,17,18,18,17,17,17,18,18,18,17,17,10,17
"North Carolina Central University - North Carolina",19,19,20,20,19,20,20,19,19,19,19,18,18,19
"Wilberforce University - Ohio",19,19,19,18,19,18,17,,,,,,,
"Winston-Salem State University - North Carolina",19,19,19,19,19,19,19,19,20,20,19,19,19,19
"Bethune-Cookman University - Florida",19,18,,,,,18,18,18,19,19,21,18,16
"University of Science and Arts of Oklahoma - Oklahoma",19,24,24,24,24,24,25,24,25,26,26,25,25,24
"Bowie State University - Maryland",19,21,,20,19,20,18,20,19,21,,,,
"Savannah State University - Georgia",19,19,26,19,18,19,19,19,19,,,,19,19
"University of Maryland Eastern Shore - Maryland",19,19,20,20,20,18,19,19,19,19,18,17,18,17
"Chicago State University - Illinois",19,19,20,20,20,20,20,20,20,19,19,20,20,20
"Ferrum College - Virginia",19,21,23,22,21,21,24,20,21,21,21,20,21,18
"Bacone College - Oklahoma",19,18,19,18,19,20,19,19,19,20,19,20,19,19
"Grambling State University - Louisiana",19,20,19,,20,20,20,20,19,20,19,19,18,
"Elizabeth City State University - North Carolina",19,20,20,20,21,19,20,18,18,18,18,19,18,18
"Trinity College of Florida - Florida",19,19,20,19,19,22,,,,,23,20,20,28
"Bloomfield College - New Jersey",19,20,19,18,20,19,17,,,,,,,
"Claflin University - South Carolina",18,19,21,23,20,19,19,21,20,21,,,,
"University of South Carolina-Salkehatchie - South Carolina",18,17,18,18,18,18,18,17,19,17,18,19,19,19
"University of South Carolina-Union - South Carolina",18,17,18,18,16,17,17,17,17,17,20,18,18,18
"University of Arkansas at Pine Bluff - Arkansas",18,20,20,20,21,20,21,20,19,20,18,18,18,18
"Johnson C Smith University - North Carolina",18,18,18,19,19,18,18,19,19,19,19,27,21,21
"Wesley College - Delaware",18,16,20,20,17,19,18,23,23,,,,,
"Southern University at New Orleans - Louisiana",18,18,18,18,19,18,18,18,20,20,,,,
"Albany State University - Georgia",18,18,18,,20,19,19,20,19,19,19,19,19,19
"South Carolina State University - South Carolina",18,17,18,18,17,17,18,19,18,19,18,17,18,17
"Gallaudet University - Washington DC",18,19,20,19,20,21,20,20,20,21,20,20,19,18
"Edward Waters University - Florida",18,18,18,18,18,18,19,18,19,17,17,,,
"Lincoln University - Pennsylvania",18,18,20,21,19,19,21,20,,19,19,20,,18
"Visible Music College - Tennessee",17,21,24,24,25,24,28,31,26,23,22,24,17,
"Virginia Union University - Virginia",17,17,18,20,,18,18,17,17,17,,,,
"Chowan University - North Carolina",17,17,18,17,17,17,16,17,17,18,18,19,21,19
"Huston-Tillotson University - Texas",17,18,18,20,18,18,19,17,19,20,18,18,17,18
"Southeastern Baptist College - Mississippi",17,,,,,,,,,,,,,
"Paul Quinn College - Texas",17,19,17,17,25,18,25,18,18,20,13,16,16,16
"Livingstone College - North Carolina",16,16,17,16,17,16,16,16,19,18,16,16,16,16
"Saint Augustine's University - North Carolina",16,17,17,16,16,17,18,17,17,,19,19,15,17
"Washington Saratoga Warren Hamilton Essex BOCES-Practical Nursing Program - New York",,,,,,,,,,,,,,
"West Coast University-Dallas - Texas",,,,,,,,,,,,,,
"West Coast University-Los Angeles - California",,,,,,,,,,,,,,
"Washington & Jefferson College - Pennsylvania",,,,,,,,,,,28,26,27,26
"Washington College - Maryland",,,,,,,,29,27,27,29,26,27,26
"Wesleyan University - Connecticut",,,,,,,,33,33,33,32,32,32,32
"Washburn Institute of Technology - Kansas",,,,,,,,,,,,,,
"Virginia Beach Theological Seminary - Virginia",,,,,,,,,,,,,,
"Warner Pacific University - Oregon",,,,,,,,,24,22,21,,,25
"Walnut Hill College - Pennsylvania",,,,,,,,,,,,,,
"Wake Forest University - North Carolina",,,,,,,,,,,,31,31,
"Wagner College - New York",,,,,,,,27,28,28,28,28,28,27
"Voorhees College - South Carolina",,,,,,,,,,,,,,18
"West Coast University-Miami - Florida",,,,,,,,,,,,,,
"Villa Maria College - New York",,,,,,,,,,,,,,
"Warrensburg Area Career Center - Missouri",,,,,,,,,,,,,,
"West Coast University-Ontario - California",,,,,,,,,,,,,,
"Yeshiva Gedolah Kesser Torah - New York",,,,,,,,,,,,,,
"Westcliff University - California",,,,,,,,,,,,,,
"Yeshiva Kollel Tifereth Elizer - New York",,,,,,,,,,,,,,
"Yeshiva Karlin Stolin - New York",,,,,,,,,,,,,,
"Yeshiva Gedolah Zichron Leyma - New Jersey",,,,,,,,,,,,,,
"Yeshiva Gedolah Shaarei Shmuel - New Jersey",,,,,,,,,,,,,,
"Yeshiva Gedolah of Greater Detroit - Michigan",,,,,,,,,,,,,,
"Vet Tech Institute of Houston - Texas",,,,,,,,,,,,,,
"Yeshiva Derech Chaim - New York",,,,,,,,,,,,,,
"Yeshiva D'monsey Rabbinical College - New York",,,,,,,,,,,,,,
"West Coast University-Orange County - California",,,,,,,,,,,,,,
"Yeshiva Bais Aharon - New Jersey",,,,,,,,,,,,,,
"Wood County School of Practical Nursing - West Virginia",,,,,,,,,,,,,,
"Wilson Workforce and Rehabilitation Center - Virginia",,,,,,,,,,,,,,
"Willamette University - Oregon",,,,,,30,30,29,30,31,30,29,29,30
"Whitworth University-Adult Degree Programs - Washington",,,,,,,,,,,,,,
"Wheelock College - Massachusetts",,,,20,22,24,24,25,25,22,24,23,21,19
"Western Pennsylvania Hospital School of Nursing - Pennsylvania",,,,,,,,,,,,,,
"Western Connecticut State University - Connecticut",,,,,,,24,,,,,,,
"Western Area Career & Technology Center - Pennsylvania",,,,,,,,,,,,,,
"Worcester Polytechnic Institute - Massachusetts",,,,,,,,,,,,,31,30
"Vermont Technical College - Vermont",,,,,,,,21,24,23,22,22,21,
"University of the Southwest - New Mexico",,,,,21,,,,,,24,23,21,20
"Venango County Area Vocational Technical School - Pennsylvania",,,,,,,,,,,,,,
"University of Alaska Southeast - Alaska",,,,,,,,,,,,23,28,23
"University of Alaska Anchorage - Alaska",,,,,,,,,,,24,24,24,25
"University of Advancing Technology - Arizona",,,,,,,,,24,26,,,,
"Universal Healthcare Careers College - California",,,,,,,,,,,,,,
"Unity College - Maine",,,,,,,,,,,,,,
"United Technical Center - West Virginia",,,,,,,,,,,,,,
"Ulster BOCES-School of Practical Nursing - New York",,,,,,,,,,,,,,
"Ukiah Adult School - California",,,,,,,,,,,,,,
"Trinity Washington University - Washington DC",,,,,,,,,,,,,,
"Trinity School of Health and Allied Sciences - California",,,,,,,,,,,,,,
"Trinity Health System School of Nursing - Ohio",,,,,19,22,,22,,21,,,24,24
"Trinity College of Nursing & Health Sciences - Illinois",,,,,,,,,,,,,,
"Trident University International - California",,,,,,,,,,,,,,
"Touro College - New York",,,,,,,,,,,,,,
"Toledo Public Schools Adult and Continuing Education - Ohio",,,,,,,,,,,,,,
"Torah Temimah Talmudical Seminary - New York",,,,,,,,,,,,,,
"Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary - New York",,,,,,,,,,,,,,
"University of Arkansas Community College-Morrilton - Arkansas",,,,,22,22,22,22,,,,,,
"Veritas Baptist College - Indiana",,,,,,,,,,,,,,
"University of Holy Cross - Louisiana",,,,22,22,,,,,,,,,
"University of Maine at Presque Isle - Maine",,,,,,,,,,,,,,
"Veeb Nassau County School of Practical Nursing - New York",,,,,,,,,,,,,,
"Utica University - New York",,,,,,,,23,24,24,23,,23,23
"Upper Cape Cod Regional Technical School - Massachusetts",,,,,,,,,,,,,,
"UPMC St. Margaret School of Nursing - Pennsylvania",,,,,,,26,,,,,,,
"UPMC Shadyside School of Nursing - Pennsylvania",,,,,,,,,,,,,,
"UPMC Mercy School of Nursing - Pennsylvania",,,,,,,33,,,,,25,26,19
"UPMC Jameson School of Nursing - Pennsylvania",,,,,,,,,,,,,,
"University of Wisconsin-Parkside Flex - Wisconsin",,,,,,,,,,,,,,
"University of Wisconsin-Milwaukee Flex - Wisconsin",,,,,,,,,,,,,,
"University of Wisconsin Colleges Flex - Wisconsin",,,,,,,,,,,,,,
"University of Wisconsin Colleges - Wisconsin",,,,23,23,23,23,23,23,23,23,23,23,23
"University of Valley Forge - Pennsylvania",,,,,,26,26,25,25,22,25,,,
"University of Silicon Valley - California",,,,,,,,,,26,,,,
"University of Puget Sound - Washington",,,,,,,30,30,30,30,30,29,30,29
"University of Pikeville - Kentucky",,,,23,22,23,23,22,,,,,,
"University of Massachusetts-Boston - Massachusetts",,,,26,26,,,,,,,,,
"University of Massachusetts Global - California",,,,,,,,,,,,,,
"University of Maine at Farmington - Maine",,,,,,,,,,,,,,
"Yeshiva of Machzikai Hadas - New York",,,,,,,,,,,,,,
"Santa Fe University of Art and Design - New Mexico",,,,,,,,24,24,24,27,27,27,25
"Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary - California",,,,,,,,,,,,,,
"Yeshivas Maharit D'Satmar - New York",,,,,,,,,,,,,,
"Wood Tobe-Coburn School - New York",,,,,,,,,,,,,,
"Valley Forge Military College - Pennsylvania",,,,,25,22,20,20,,,,,,
"Unitek College - California",,,,,,,,,,,,,,
"Unitek College - California",,,,,,,,,,,,,,
"Trocaire College - New York",,,,,,,,,,,,,,
"Trine University-Arizona Regional Campus - Arizona",,,,,,,,,,,,,,
"Syracuse City Schools Practical Nursing Program - New York",,,,,,,,,,,,,,
"Stevens-The Institute of Business & Arts - Missouri",,,,,,,,,,,,,,
"St. Gregory's University - Oklahoma",,,,,,,,,23,,23,22,22,21
"Southeastern Bible College - Alabama",,,,,23,25,21,25,21,24,20,23,23,23
"Shimer College - Illinois",,,,,,,,,,,,,,
"School of the Museum of Fine Arts at Tufts University - Massachusetts",,,,,,,,,,,,25,26,28
"Tiffin University - Ohio",,,,,,,,23,23,23,23,22,22,23
"Saint Josephs College - Indiana",,,,,24,24,24,24,25,25,26,24,24,24
"Roane State Community College - Tennessee",,,,,22,21,21,21,21,21,22,21,22,21
"Rizzieri Aveda School for Beauty and Wellness - New Jersey",,,,,,,,,,,,,,
"YTI Career Institute-York - Pennsylvania",,,,,,,,,,,,,,
"Purdue University-North Central Campus - Indiana",,,,,23,22,23,23,23,23,22,22,21,23
"AIB College of Business - Iowa",,,,,,,,,,,23,,,
"Atelier Esthetique Institute of Esthetics - New York",,,,,,,,,,,,,,
"DeVry University-Washington - Washington",,,,,,,,,,,,,,
"DeVry University-Oregon - Oregon",,,,,,,,,,,,,,
"DeVry University-Minnesota - Minnesota",,,,,,,,,,,,,,
"DeVry University-Michigan - Michigan",,,,,,,,,,,,,,
"Dell'Arte International School of Physical Theatre - California",,,,,,,,,,,,,,
"Daniel Webster College - New Hampshire",,,,,,,,22,22,22,22,22,25,25
"CVPH Medical Center School of Radiologic Technology - New York",,,,,,,,,,,,,,
"Cuyahoga Valley Career Center - Ohio",,,,,,,,,,,,,,
"Crossroads College - Minnesota",,,,,,,,,,20,22,25,23,22
"Covenant School of Nursing and Allied Health - Texas",,,,,,,,,,,,,,
"College of Massage Therapy - Idaho",,,,,,,,,,,,,,
"Coleman University - California",,,,,,,,,,,,,,
"Central Baptist Theological Seminary - Kansas",,,,,,,,,,,,,,
"Center for Advanced Legal Studies - Texas",,,,,,,,,,,,,,
"Carolina School of Broadcasting - North Carolina",,,,,,,,,,,,,,
"Brooks Institute - California",,,,,,,,,,,,,,
"Bristol University - California",,,,,,,,,,,,,,
"ATA College - Oklahoma",,,,,,,,,,,,,,
"Purdue University-Calumet Campus - Indiana",,,,,24,,,,,,,,,
"Prism Career Institute-West Atlantic City - New Jersey",,,,,,,,,,,,,,
"Prism Career Institute-Philadelphia - Pennsylvania",,,,,,,,,,,,,,
"Aquinas College - Tennessee",,,,,28,26,29,27,26,24,21,23,25,21
"Alabama School of Nail Technology & Cosmetology - Alabama",,,,,,,,,,,,,,
"Zaytuna College - California",,,,,31,,,,,,,,,
"Yeshivath Zichron Moshe - New York",,,,,,,,,,,,,,
"Yeshivath Viznitz - New York",,,,,,,,,,,,,,
"Yeshivath Beth Moshe - Pennsylvania",,,,,,,,,,,,,,
"Yeshivat Mikdash Melech - New York",,,,,,,,,,,,,,
"Yeshivas Novominsk - New York",,,,,,,,,,,,,,
"Yeshivas Be'er Yitzchok - New Jersey",,,,,,,,,,,,,,
"Yeshiva Zichron Aryeh - New York",,,,,,,,,,,,,,
"Yeshiva Yesodei Hatorah - New Jersey",,,,,,,,,,,,,,
"Yeshiva Toras Chaim - New Jersey",,,,,,,,,,,,,,
"Yeshiva Sholom Shachna - New York",,,,,,,,,,,,,,
"Yeshiva Shaarei Torah of Rockland - New York",,,,,,,,,,,,,,
"Yeshiva Shaar Hatorah - New York",,,,,,,,,,,,,,
"Yeshiva Ohr Yisrael - New York",,,,,,,,,,,,,,
"Yeshiva Ohr Naftoli - New York",,,,,,,,,,,,,,
"Atlanta Institute of Music and Media - Georgia",,,,,,,,,,,,,,
"Be'er Yaakov Talmudic Seminary - New York",,,,,,,,,,,,,,
"Brown & Clermont Adult Career Campuses - Ohio",,,,,,,,,,,,,,
"Cambridge Junior College-Woodland - California",,,,,,,,,,,,,,
"Prism Career Institute-Cherry Hill - New Jersey",,,,,,,,,,,,,,
"Omaha School of Massage and Healthcare of Herzing University - Nebraska",,,,,,,,,,,,,,
"New Horizons Medical Institute - Georgia",,,,,,,,,,,,,,
"Medical Professional Institute - Massachusetts",,,,,,,,,,,,,,
"McNally Smith College of Music - Minnesota",,,,,,,,,,,,,,
"Marylhurst University - Oregon",,,,,,,,,,,,,,
"Huntingdon County Career and Technology Center - Pennsylvania",,,,,,,,,,,,,,
"Greene County Career and Technology Center - Pennsylvania",,,,,,,,,,,,,,
"Yeshiva of the Telshe Alumni - New York",,,,,,,,,,,,,,
"Global Health College - Virginia",,,,,,,,,,,,,,
"Epic Bible College & Graduate School - California",,,,,,,,,,,,,,
"Delaware Chenango Madison Otsego BOCES-Practical Nursing Program - New York",,,,,,,,,,,,,,
"CUNY Medgar Evers College - New York",,,,,,,,,,,,,,
"Concordia College Alabama - Alabama",,,,,,,31,,,,,,,
"College of Staten Island CUNY - New York",,,,,,,,,,,,,,
"Central Coast College - California",,,,,,,,,,,,,,
"Center for Neurosomatic Studies - Florida",,,,,,,,,,,,,,
"Carthage R9 School District-Carthage Technical Center - Missouri",,,,,,,,,,,,,,
"Glenville State University - West Virginia",,,,,22,22,21,21,21,21,22,22,21,22
"Thomas More College of Liberal Arts - New Hampshire",,,,,,,,,,,,,,
"Southern Westchester BOCES-Practical Nursing Program - New York",,,,,,,,,,,,,,
"The University of the Arts - Pennsylvania",,,,,27,27,24,25,26,25,25,25,25,25
"Professional Skills Institute - Ohio",,,,,,,,,,,,,,
"Post University - Connecticut",,,,,23,21,21,22,21,21,22,19,,
"Portland Actors Conservatory - Oregon",,,,,,,,,,,,,,
"Pontifical College Josephinum - Ohio",,,,,,,31,,,27,25,26,31,24
"Pomeroy College of Nursing at Crouse Hospital - New York",,,,,,,,,,,,,24,22
"Plymouth State University - New Hampshire",,,,,,,,23,23,21,23,19,21,22
"Plaza College - New York",,,,,,,,,,,,,,
"Platt College-Aurora - Colorado",,,,,,,,,,,,,,
"Pitzer College - California",,,,,,,,,,,,,,
"Pittsburgh Institute of Mortuary Science Inc - Pennsylvania",,,,,,,,,,,,,,
"Pine Manor College - Massachusetts",,,,,,,,,20,18,,17,26,16
"Phillips School of Nursing at Mount Sinai Beth Israel - New York",,,,,,,,,,,,,,
"Pennsylvania State University-Penn State Schuylkill - Pennsylvania",,,,25,24,19,20,21,20,22,23,21,20,22
"Pennsylvania College of Health Sciences - Pennsylvania",,,,,,,,,,,,,,
"Pennsylvania College of Art and Design - Pennsylvania",,,,,,,,,,,,,,
"Pennsylvania Academy of the Fine Arts - Pennsylvania",,,,,,,,,,,,,,
"Penn Commercial Business/Technical School - Pennsylvania",,,,,,,,,,,,,,
"Putnam Westchester BOCES-Practical Nursing Program - New York",,,,,,,,,,,,,,
"Paul Smiths College of Arts and Science - New York",,,,,,,,25,23,24,24,,,
"Rabbi Jacob Joseph School - New Jersey",,,,,,,,,,,,,,
"Rabbinical College Beth Shraga - New York",,,,,,,,,,,,,,
"Rollins College - Florida",,,,,,,,29,29,28,,28,27,27
"Rolla Technical Institute/Center - Missouri",,,,,,,,,,,,,,
"Roger Williams University - Rhode Island",,,,,,,,,,26,,25,,25
"Robert Morris University Illinois - Illinois",,,,,,,,,,,,,,
"Rivier University - New Hampshire",,,,,,,22,21,22,21,21,22,,21
"Riverside College of Health Careers - Virginia",,,,,,,,,,,,,,
"Rio Grande Bible Institute - Texas",,,,,,,,,,,,,,
"Ringling College of Art and Design - Florida",,,,,,,,,,,,,,
"Ridley-Lowell Business & Technical Institute-New London - Connecticut",,,,,,,,,,,,,,
"Richard Bland College - Virginia",,,,,,,,18,,,,,,
"Regis College - Massachusetts",,,,,,,,23,24,21,21,21,20,21
