"Title:","ACT Composite 75th Percentile Score from the Test Scores - Postsecondary Education Database"
"SubTitle:",""
"Time:","2006 - 2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","National Center for Education Statistics (2022-09-30). Test Scores - Postsecondary Education: ACT Composite 75th Percentile Score, 2006 - 2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  017-022-008 doi:https://doi.org/10.6068/DP1846849F42F39"
"ColumnCount:",18
"RowCount:",2458

"The King's College - New York",30,28,29,29,28,29,27,28,30,28,27,30,,
"CUNY Bernard M Baruch College - New York",30,,,,,,,,,,,,,
"Ursinus College - Pennsylvania",30,30,28,30,,,,30,29,,29,29,29,27
"Milwaukee School of Engineering - Wisconsin",30,30,30,30,30,30,30,30,29,29,29,28,28,28
"Mills College - California",30,29,29,,29,30,29,28,27,29,27,27,27,26
"University of Mary Washington - Virginia",30,29,29,27,27,27,27,26,27,27,28,27,27,27
"Gonzaga University - Washington",30,30,30,30,30,29,29,29,28,28,29,29,29,29
"Allegheny College - Pennsylvania",30,30,30,29,,,29,29,29,29,29,28,28,28
"Transylvania University - Kentucky",30,30,30,,,,30,30,30,30,29,29,29,28
"Saint Anselm College - New Hampshire",30,29,29,28,28,,,27,,,26,26,26,25
"University of Maryland-Baltimore County - Maryland",30,29,29,29,29,29,30,29,29,29,29,27,27,27
"Cedarville University - Ohio",30,29,29,29,29,28,29,29,29,29,29,28,29,28
"University of Alabama at Birmingham - Alabama",30,29,29,28,28,28,27,28,27,27,27,27,27,26
"Calvin University - Michigan",30,30,30,30,29,30,29,29,30,29,29,28,28,29
"University of Health Sciences and Pharmacy in St. Louis - Missouri",30,29,28,28,28,29,28,29,29,29,30,116,28,28
"University of Mississippi - Mississippi",30,29,29,29,29,28,27,27,27,27,26,26,26,26
"Hobart William Smith Colleges - New York",30,30,30,30,30,,,,,,,,,27
"University of Florida-Online - Florida",30,29,29,27,28,28,26,,,,,,,
"Union University - Tennessee",30,30,30,29,30,29,29,29,29,28,28,29,28,27
"University of New Hampshire-Main Campus - New Hampshire",30,28,28,28,27,27,27,,,,,,,26
"Miami University-Oxford - Ohio",30,30,30,31,31,30,30,30,29,29,28,28,28,29
"George Mason University - Virginia",30,30,30,30,29,29,28,28,28,28,27,27,25,25
"Butler University - Indiana",30,30,30,30,30,30,29,30,30,30,30,29,29,29
"Chapman University - California",30,31,30,30,30,30,29,29,29,29,29,29,29,29
"University of Delaware - Delaware",30,30,30,29,29,29,29,29,28,28,28,29,,28
"Truman State University - Missouri",30,31,30,30,30,30,30,30,29,30,30,31,30,30
"Michigan Technological University - Michigan",30,30,30,30,30,29,30,29,29,29,28,28,28,28
"Pratt Institute-Main - New York",30,30,30,29,30,28,28,28,28,29,28,27,26,25
"Clarkson University - New York",30,30,30,29,29,30,29,28,28,28,27,28,29,27
"Grove City College - Pennsylvania",30,30,30,32,29,29,29,29,29,30,30,30,30,30
"University of Central Florida - Florida",30,30,29,29,28,28,28,28,28,28,28,27,27,27
"Mississippi State University - Mississippi",30,30,29,28,28,29,28,28,27,27,27,27,27,27
"Michigan State University - Michigan",29,29,29,28,29,28,28,28,28,28,27,27,27,27
"Gordon College - Massachusetts",29,30,30,29,29,29,29,29,29,28,28,29,28,28
"Southwestern University - Texas",29,29,29,29,28,29,28,29,29,31,30,29,29,29
"South Dakota School of Mines and Technology - South Dakota",29,29,29,29,29,29,28,28,29,29,28,28,28,28
"Regent University - Virginia",29,25,25,27,25,26,26,25,26,25,17,,,
"Messiah University - Pennsylvania",29,30,29,29,29,28,27,29,28,29,28,27,27,28
"LeTourneau University - Texas",29,29,28,28,28,29,30,30,29,29,29,29,28,27
"Liberty University - Virginia",29,28,28,27,28,27,26,26,,,,23,24,24
"St Bonaventure University - New York",29,26,27,27,27,27,27,27,26,26,25,26,26,24
"Samford University - Alabama",29,29,29,29,29,29,29,28,29,29,28,27,27,28
"Nebraska Wesleyan University - Nebraska",29,28,28,28,27,27,27,26,28,28,27,27,27,27
"Ouachita Baptist University - Arkansas",29,28,28,28,28,28,28,27,28,27,27,27,27,26
"San Diego State University - California",29,29,28,28,28,28,27,26,26,26,25,25,24,25
"Hope College - Michigan",29,29,29,29,29,29,29,29,29,29,29,29,29,28
"Ottawa University-Surprise - Arizona",29,19,21,,,,,,,,,,,
"Oregon State University - Oregon",29,28,28,28,28,28,28,27,27,26,26,26,26,26
"Lipscomb University - Tennessee",29,29,29,29,28,29,29,28,28,28,27,26,27,27
"Oklahoma City University - Oklahoma",29,29,29,28,29,28,28,29,28,28,27,27,27,27
"Long Island University - New York",29,28,27,26,26,24,23,23,24,24,20,23,23,23
"Franciscan University of Steubenville - Ohio",29,29,28,28,28,28,29,28,29,29,28,28,28,28
"Hollins University - Virginia",29,30,29,28,29,30,27,27,27,28,28,27,27,28
"Principia College - Illinois",29,27,29,27,28,27,29,29,26,30,29,29,29,27
"Mississippi College - Mississippi",29,29,28,29,28,27,28,27,26,27,27,26,26,26
"Saint Joseph's University - Pennsylvania",29,29,29,28,28,,,26,27,26,26,26,28,27
"Simmons University - Massachusetts",29,29,30,29,29,29,28,28,28,26,26,26,26,27
"John Brown University - Arkansas",29,29,30,29,29,30,,28,28,29,28,29,28,29
"Florida International University - Florida",29,28,27,27,27,26,26,27,27,25,26,25,25,25
"Harding University - Arkansas",29,29,29,28,28,28,28,28,28,28,28,28,28,27
"Hanover College - Indiana",29,26,27,27,27,27,28,28,28,28,28,28,28,29
"Illinois Wesleyan University - Illinois",29,29,29,29,29,30,30,30,30,30,30,30,30,30
"Luther College - Iowa",29,28,29,28,28,29,28,29,28,29,29,29,28,27
"St. Mary's College of Maryland - Maryland",29,29,28,28,29,28,28,30,29,29,29,31,,
"University of Michigan-Dearborn - Michigan",29,29,30,28,27,27,27,27,27,26,27,26,26,26
"University of Massachusetts-Lowell - Massachusetts",29,29,29,29,29,29,28,28,27,26,,,,
"University of Kentucky - Kentucky",29,29,29,28,29,28,28,28,28,28,27,27,26,27
"University of Kansas - Kansas",29,29,29,28,29,28,28,28,28,28,27,27,27,27
"University of Iowa - Iowa",29,29,28,28,28,28,28,28,28,28,28,28,27,27
"University of Illinois Chicago - Illinois",29,28,27,26,27,26,27,26,26,26,26,26,26,26
"University of Hartford - Connecticut",29,27,28,27,26,25,25,26,,,24,25,23,24
"University of Dayton - Ohio",29,29,30,29,29,29,29,29,29,29,28,28,28,28
"University of Connecticut-Stamford - Connecticut",29,27,27,25,29,27,27,24,25,26,24,25,,26
"University of Cincinnati-Main Campus - Ohio",29,29,29,28,28,28,28,28,27,27,27,27,27,27
"Colorado State University-Fort Collins - Colorado",29,29,28,28,28,28,27,27,27,27,27,26,26,26
"University of Arkansas - Arkansas",29,30,29,29,29,28,28,28,28,28,29,28,29,28
"University of Arizona - Arizona",29,29,28,,,,,27,27,27,27,26,26,26
"University at Buffalo - New York",29,29,29,28,29,29,29,28,28,28,27,27,27,28
"United States Merchant Marine Academy - New York",29,30,30,28,30,,,,,,,,,
"University of Missouri-Columbia - Missouri",29,29,29,29,29,29,28,28,28,28,28,28,28,28
"Cornell College - Iowa",29,29,30,29,29,29,30,29,30,29,29,29,29,30
"St. John's University-New York - New York",29,29,29,29,28,27,28,27,26,27,,,,
"University of Oregon - Oregon",29,28,28,28,27,27,27,27,27,27,,,,
"Worcester State University - Massachusetts",29,,,,26,25,25,24,23,24,23,23,24,21
"American College of the Building Arts - South Carolina",29,20,,,,,,,,,,,,
"American International College - Massachusetts",29,,22,22,22,23,23,21,21,21,21,23,21,23
"Warren Wilson College - North Carolina",29,29,28,29,,28,28,27,28,28,27,,,27
"Wabash College - Indiana",29,29,28,28,28,28,27,,28,27,27,28,27,28
"Virginia Wesleyan University - Virginia",29,28,25,25,24,26,25,24,24,23,23,26,22,21
"Austin College - Texas",29,29,27,29,29,28,27,27,29,29,28,29,28,28
"Valparaiso University - Indiana",29,29,29,29,29,29,29,29,29,29,29,28,28,28
"Utah State University - Utah",29,28,28,27,27,27,26,27,26,27,27,27,26,27
"Benedictine College - Kansas",29,28,28,28,28,28,27,28,27,27,27,27,26,26
"University of Utah - Utah",29,29,29,29,27,28,28,27,27,27,27,27,27,27
"University of the Sciences - Pennsylvania",29,28,29,29,28,28,27,27,27,27,27,27,27,27
"University of St Thomas - Minnesota",29,29,29,29,29,29,24,28,28,28,28,27,27,27
"Biola University - California",29,28,27,28,27,28,28,27,27,27,35,27,27,26
"University of Portland - Oregon",29,29,28,29,,,,,,,,,,
"University of Oklahoma-Norman Campus - Oklahoma",29,29,29,29,29,29,29,29,29,29,29,28,28,28
"Covenant College - Georgia",29,29,30,30,29,29,29,28,29,29,28,28,28,28
"University of North Carolina School of the Arts - North Carolina",29,29,28,28,28,27,26,26,26,27,24,27,26,27
"Emmanuel College - Massachusetts",29,27,27,29,27,,26,26,26,26,24,24,,23
